Product Name,Price,Available,No. Units,Store,Time,Link
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$1,999.99",False,0,Micro Center,2025-02-08 17:47:36.906777,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,529.99",False,0,Micro Center,2025-02-08 17:47:37.010784,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,409.99",False,0,Micro Center,2025-02-08 17:47:37.112794,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,599.99",False,0,Micro Center,2025-02-08 17:47:37.199800,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,439.99",False,0,Micro Center,2025-02-08 17:47:37.286809,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:47:37.388814,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,199.99",False,0,Micro Center,2025-02-08 17:47:37.476820,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,349.99",False,0,Micro Center,2025-02-08 17:47:37.562830,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 17:47:37.646832,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,249.99",False,0,Micro Center,2025-02-08 17:47:37.727838,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,559.99",False,0,Micro Center,2025-02-08 17:47:37.803844,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:47:37.882850,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 17:47:37.961855,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 17:47:38.050863,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,669.99",False,0,Micro Center,2025-02-08 17:47:38.132868,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
PNY NVIDIA GeForce RTX 5090 Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,249.99",False,0,Micro Center,2025-02-08 17:47:38.223874,https://www.microcenter.com/product/690483/pny-nvidia-geforce-rtx-5090-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
PNY NVIDIA GeForce RTX 5090 Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,299.99",False,0,Micro Center,2025-02-08 17:47:38.317882,https://www.microcenter.com/product/690483/pny-nvidia-geforce-rtx-5090-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,079.99",False,0,Micro Center,2025-02-08 18:07:00.851912,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 ROG Astral Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,459.99",False,0,Micro Center,2025-02-08 18:07:00.918916,https://www.microcenter.com/product/690032/asus-nvidia-geforce-rtx-5090-rog-astral-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,549.99",False,0,Micro Center,2025-02-08 18:07:00.987923,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 SUPRIM SOC Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$1,999.99",False,0,Micro Center,2025-02-08 18:07:01.091930,https://www.microcenter.com/product/690484/msi-nvidia-geforce-rtx-5090-suprim-soc-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,529.99",False,0,Micro Center,2025-02-08 18:07:01.171935,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 AORUS XTREME WATERFORCE WB Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$3,409.99",False,0,Micro Center,2025-02-08 18:07:01.252941,https://www.microcenter.com/product/690624/gigabyte-nvidia-geforce-rtx-5090-aorus-xtreme-waterforce-wb-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,599.99",False,0,Micro Center,2025-02-08 18:07:01.330947,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 Windforce Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,439.99",False,0,Micro Center,2025-02-08 18:07:01.414954,https://www.microcenter.com/product/690450/gigabyte-nvidia-geforce-rtx-5090-windforce-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
